DevEUI,Status,Atividade,Porta
0080e11500216202,Na NLT,Não ativo, desconhecida
0080e11500216203,Na NLT,Não ativo, desconhecida
0080e11500216204,Na NLT,Não ativo, desconhecida
0080e11500216205,Na NLT,Não ativo, desconhecida
0080e11500216206,Na NLT,Não ativo, desconhecida
0080e11500216208,Na NLT,Não ativo, desconhecida
0080e1150021620e,Na NLT,Não ativo, desconhecida
0080e11500216216,Na NLT,Não ativo, desconhecida
0080e11500216219,Na NLT,Não ativo, desconhecida
0080e1150021621a,Na NLT,Não ativo, desconhecida
0080e1150021621e,Na NLT,Não ativo, desconhecida
0080e11500216221,Na NLT,Não ativo, desconhecida
0080e11500216222,Na NLT,Não ativo, desconhecida
0080e11500216225,Na NLT,Não ativo, desconhecida
0080e11500216226,Na NLT,Não ativo, desconhecida
0080e1150021622a,Na NLT,Não ativo, desconhecida
0080e1150021622b,Na NLT,Não ativo, desconhecida
0080e1150021623d,Na NLT,Não ativo,8
0080e1150021623e,Na NLT,Ativo,8
0080e11500216245,Na NLT,Não ativo, desconhecida
0080e11500216247,Na NLT,Não ativo, desconhecida
0080e11500216248,Na NLT,Não ativo, desconhecida
0080e11500216249,Na NLT,Não ativo, desconhecida
0080e1150021624a,Na NLT,Não ativo, desconhecida
0080e1150021624b,Na NLT,Não ativo, desconhecida
0080e1150021624c,Na NLT,Não ativo, desconhecida
0080e1150021624e,Na NLT,Não ativo, desconhecida
0080e1150021624f,Na NLT,Não ativo, desconhecida
0080e11500216251,Na NLT,Não ativo, desconhecida
0080e11500216252,Na NLT,Não ativo, desconhecida
0080e11500216256,Na NLT,Não ativo, desconhecida
0080e11500216257,Na NLT,Não ativo, desconhecida
0080e11500216259,Na NLT,Não ativo, desconhecida
0080e11500216263,Na NLT,Não ativo, desconhecida
0080e11500216264,Na NLT,Não ativo, desconhecida
0080e11500216269,Fora da NLT,Não ativo, desconhecida
0080e1150021626a,Na NLT,Não ativo, desconhecida
0080e1150021626f,Na NLT,Não ativo, desconhecida
0080e11500216270,Na NLT,Não ativo, desconhecida
0080e11500216271,Na NLT,Não ativo, desconhecida
0080e11500216272,Na NLT,Não ativo, desconhecida
0080e11500216273,Na NLT,Não ativo, desconhecida
0080e11500216274,Na NLT,Não ativo, desconhecida
0080e11500216275,Na NLT,Não ativo, desconhecida
0080e11500216276,Na NLT,Não ativo, desconhecida
0080e11500216277,Na NLT,Não ativo, desconhecida
0080e11500216278,Na NLT,Não ativo, desconhecida
0080e11500216284,Na NLT,Não ativo, desconhecida
0080e11500216285,Na NLT,Não ativo, desconhecida
0080e11500216286,Na NLT,Não ativo,8
0080e11500216287,Na NLT,Não ativo, desconhecida
0080e11500216288,Na NLT,Não ativo, desconhecida
0080e11500216289,Na NLT,Não ativo, desconhecida
0080e1150021628a,Na NLT,Não ativo, desconhecida
0080e1150021628b,Na NLT,Não ativo, desconhecida
0080e1150021628c,Na NLT,Não ativo, desconhecida
0080e1150021628e,Na NLT,Não ativo, desconhecida
0080e1150021628f,Na NLT,Ativo,8
0080e11500216290,Na NLT,Não ativo, desconhecida
0080e11500216291,Na NLT,Não ativo, desconhecida
0080e11500216292,Na NLT,Não ativo, desconhecida
0080e11500216293,Na NLT,Não ativo, desconhecida
0080e11500216294,Na NLT,Não ativo, desconhecida
0080e11500216295,Fora da NLT,Não ativo, desconhecida
0080e11500216296,Na NLT,Não ativo, desconhecida
0080e11500216297,Na NLT,Não ativo, desconhecida
0080e11500216298,Na NLT,Não ativo, desconhecida
0080e11500216299,Na NLT,Não ativo, desconhecida
0080e1150021629a,Na NLT,Não ativo, desconhecida
0080e1150021629b,Na NLT,Não ativo, desconhecida
0080e1150021629c,Na NLT,Ativo,8
0080e1150021629d,Na NLT,Não ativo, desconhecida
0080e1150021629e,Na NLT,Não ativo, desconhecida
0080e1150021629f,Na NLT,Não ativo, desconhecida
0080e115002162a0,Na NLT,Não ativo, desconhecida
0080e115002162a1,Na NLT,Não ativo, desconhecida
0080e115002162a2,Na NLT,Não ativo, desconhecida
0080e115002162a3,Na NLT,Ativo,8
0080e115002162a4,Na NLT,Não ativo, desconhecida
0080e115002162a5,Na NLT,Ativo,8
0080e115002162a6,Na NLT,Não ativo, desconhecida
0080e115002162a7,Na NLT,Não ativo, desconhecida
0080e115002162a8,Na NLT,Não ativo, desconhecida
0080e115002162a9,Na NLT,Não ativo,8
0080e115002162aa,Na NLT,Não ativo, desconhecida
0080e115002162ab,Na NLT,Não ativo, desconhecida
0080e115002162ac,Na NLT,Não ativo, desconhecida
0080e115002162ad,Na NLT,Não ativo, desconhecida
0080e115002162ae,Na NLT,Não ativo, desconhecida
0080e115002162c1,Na NLT,Não ativo, desconhecida
0080e115002162c2,Na NLT,Não ativo, desconhecida
0080e115002162c3,Na NLT,Não ativo, desconhecida
0080e115002162c4,Na NLT,Não ativo, desconhecida
0080e115002162c5,Na NLT,Não ativo, desconhecida
0080e115002162c7,Na NLT,Ativo,8
0080e115002162c8,Na NLT,Não ativo, desconhecida
0080e115002162ca,Na NLT,Não ativo, desconhecida
0080e115002162cb,Na NLT,Não ativo, desconhecida
